2020-10-30 16:00:12.053 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user/login]}" onto public com.fz.zf.util.ApiResult com.fz.zf.app.LoginController.login(com.fz.zf.model.app.User)
2020-10-30 16:00:12.054 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/me/logout],methods=[POST]}" onto public com.fz.zf.util.ApiResult com.fz.zf.app.MeController.logout()
2020-10-30 16:00:12.055 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/video/category/list]}" onto public java.lang.Object com.fz.zf.app.VideoCategoryController.list(com.ex.framework.data.Record)
2020-10-30 16:00:12.055 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/video/list],methods=[POST]}" onto public java.lang.Object com.fz.zf.app.VideoListController.list(com.ex.framework.data.Record)
2020-10-30 16:00:12.055 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/video/updateByVid],methods=[POST]}" onto public java.lang.Object com.fz.zf.app.VideoListController.updateByVid(com.ex.framework.data.Record)
2020-10-30 16:00:12.056 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/video/saveList],methods=[POST]}" onto public java.lang.Object com.fz.zf.app.VideoListController.saveList(com.ex.framework.data.Record)
2020-10-30 16:00:12.057 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2020-10-30 16:00:12.057 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2020-10-30 16:00:12.078 logback [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2020-10-30 16:00:12.078 logback [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2020-10-30 16:00:12.078 logback [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/download/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2020-10-30 16:00:12.088 logback [restartedMain] INFO  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Detected @ExceptionHandler methods in appGlobalExceptionHandler
2020-10-30 16:00:12.773 logback [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-10-30 16:00:12.795 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2020-10-30 16:00:12.796 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
2020-10-30 16:00:12.800 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource]
2020-10-30 16:00:12.818 logback [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
2020-10-30 16:00:12.824 logback [restartedMain] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2020-10-30 16:00:12.855 logback [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
2020-10-30 16:00:12.859 logback [restartedMain] INFO  com.fz.zf.BootZfApplication - Started BootZfApplication in 8.038 seconds (JVM running for 8.866)
2020-10-30 16:03:53.194 logback [http-nio-9999-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2020-10-30 16:03:53.194 logback [http-nio-9999-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2020-10-30 16:03:53.210 logback [http-nio-9999-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 16 ms
2020-10-30 16:03:53.670 logback [http-nio-9999-exec-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-10-30 16:03:53.671 logback [http-nio-9999-exec-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-10-30 16:03:54.013 logback [http-nio-9999-exec-1] INFO  com.fz.zf.config.app.AuthInterceptor - ----------------前端传过来token----------------:741117bf-e716-4e6d-8752-100302e35ffa
2020-10-30 16:03:54.013 logback [http-nio-9999-exec-1] INFO  com.fz.zf.config.app.AuthInterceptor - ----------------redis取出token-----------------:fe5e917e-a392-4ede-8121-33f3786cec38
2020-10-30 16:03:54.022 logback [http-nio-9999-exec-1] ERROR c.f.z.c.a.AppGlobalExceptionHandler - ----------------------token异常----------------------
2020-10-30 16:03:54.121 logback [http-nio-9999-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved exception caused by handler execution: com.fz.zf.config.app.AuthException: token失效
2020-10-30 16:04:01.624 logback [http-nio-9999-exec-3] INFO  com.fz.zf.app.LoginController - --------------redis存token----------------：8f21421e-bc34-4899-8ab6-f078d566e6ce
2020-10-30 16:04:02.207 logback [http-nio-9999-exec-5] INFO  com.fz.zf.config.app.AuthInterceptor - ----------------前端传过来token----------------:8f21421e-bc34-4899-8ab6-f078d566e6ce
2020-10-30 16:04:02.208 logback [http-nio-9999-exec-5] INFO  com.fz.zf.config.app.AuthInterceptor - ----------------redis取出token-----------------:8f21421e-bc34-4899-8ab6-f078d566e6ce
